"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",2892.719551,2895.1192,53.6074751418017,54.46790706,2817.32529,2985.818595,1.18906006402875,4.14762513927608,21.5942744323791
"ksi",0.03077502834,0.0307105995,0.00386950324049606,0.0031755275664,0.02434635425,0.0372437565,1.20272625296923,7.37709580890445,21.0246288509397
"sigma[1]",54.8952255,52.6513055,16.7988249336504,16.2102546942,32.112957,87.95521595,1.1354147942221,8.34188395874701,30.6204069389592
"sigma[2]",14.45799629,14.048203,6.83187356560487,6.42113748654,6.48276918,24.6077769,1.61160978080469,6.63785951732895,16.3597270262691
"sigma[3]",75.10170599,77.7180585,16.5172599913654,17.8909426563,51.50465085,99.8122144,1.25727580496765,9.01916187619594,12.8702156943087
"sigma[4]",51.57427895,50.4818545,14.60727465903,15.9784709406,30.0513291,75.4187152,1.01076123085134,13.4922996382375,16.5766789807711
"sigma[5]",32.49485773,33.901741,14.8641040266617,22.5505987833,12.4393039,54.41558925,1.9203099640001,1.52794737436672,24.2487826121382
"sigma[6]",63.19558106,61.293681,16.7581478970239,16.635765342,39.27716535,92.34836675,1.88186698670951,1.59557876568963,21.5942744323791
"sigma[7]",59.7635454,58.444696,16.142903194339,18.4095301908,37.92142415,88.26586395,1.10923765075717,7.86527321196966,21.0246288509397
"sigma[8]",46.72936773,44.0868405,13.774803706146,11.8800804717,29.4893921,73.747733,1.39791197452949,2.55644272536033,21.0246288509397
"sigma[9]",83.13954546,91.473222,18.8050434709057,11.708603697,47.54222735,99.81423385,1.53533133794914,1.95922849331372,25.1261434959183
"sigma[10]",62.49988466,62.2964395,11.1412831583488,13.9968996867,47.17647495,80.94442145,1.14258127167951,7.6529462409139,60.0313633245124
"sigma[11]",29.24147803,25.262715,13.6804062658048,8.3416620924,15.5991426,55.4022157,1.33026462900931,6.48741962175029,22.9749245109622
"lambda[1]",1.17776043307,1.302236,0.573808048000429,0.619617221034,0.163510021,1.897819915,1.08764522249798,24.5908886846639,38.0825069170268
"lambda[2]",1.01593188907,1.0518592,0.591019591926954,0.745469434437,0.0709326925,1.88459438,1.10437054358591,9.28474284911513,21.0246288509397
"lambda[3]",1.0793689162,1.11241915,0.508271344768147,0.62643719586,0.304408631,1.85778612,0.999180320127424,32.8714210970743,44.5810103703794
"lambda[4]",1.1829145026,1.25636725,0.589566576679344,0.740396940927,0.1657615885,1.94717906,1.00950061792736,27.863685210587,22.0820189274448
"lambda[5]",0.95144547818,0.911566915,0.515549478985989,0.673651386051,0.197697757,1.76111616,1.02509372426288,17.6126263829734,43.2837770829808
"lambda[6]",0.7683324969,0.630173125,0.529013714433976,0.504475013511,0.2092501745,1.937839095,0.997280312531064,35.1621811087539,44.5810103703794
"lambda[7]",0.92875740704,0.89553737,0.490820848003478,0.54373065138,0.1190707895,1.732307015,1.14209920482294,5.78980087101657,30.6204069389592
"lambda[8]",0.94776547976,0.941427815,0.657817056209223,0.9771230973,0.10066225685,1.876812925,1.07020969008818,18.498119887763,59.4639916395372
"lambda[9]",0.913650089519,0.946832675,0.551113246254764,0.655869355932,0.0145320085,1.75850627,1.36489300595193,2.79306353496432,21.0246288509397
"lambda[10]",0.9726467779,0.860238805,0.561029618636191,0.674116388715,0.171143923,1.867019685,1.05661050096771,13.8267935615354,16.4134308760082
"lambda[11]",1.06297408989,1.08322225,0.540029717879857,0.655136869989,0.1839776885,1.86676267,1.00851662411767,34.7996710098907,47.507860551729
"mu[1]",1.3010314708,1.2946069,0.258854191005509,0.24237455844,0.8586041935,1.78812653,1.28653106485813,3.19943095871705,16.620761705765
"mu[2]",-5.776132256,-5.99180605,1.31295963856174,1.18147615635,-7.445995285,-3.398808545,1.00234743763312,17.2232155037041,25.3298043918779
"mu[3]",-0.095669108871,-0.10100387,0.223644970200394,0.261352557501,-0.423825562,0.2971847695,1.52938423311772,2.1333632182326,30.9351246243591
"mu[4]",-0.300900857997,-0.227025225,0.373030559504207,0.395567954418,-0.921715377,0.2586228145,1.4336602236213,2.47216634356366,30.6204069389592
"mu[5]",0.203650867637,0.103827666,0.60536001786791,0.660045817893,-0.6159038315,1.268989345,1.19610478225905,5.94670889838437,21.0246288509397
"mu[6]",-0.655359486417,-0.652822545,0.275614523499926,0.240512902098,-1.138074435,-0.2076574175,1.07837078709075,26.0693917090019,48.4074922943175
"mu[7]",0.178118966576,0.19825979,1.22279785022692,1.278746762475,-1.59801156,2.32495283,1.09152934307533,7.8291085458555,18.0617194756941
"mu[8]",2.276422167,2.31673005,0.411714467282198,0.42952493556,1.45297387,2.81328251,1.04029544254106,12.2275389273651,15.7913733983035
"mu[9]",-0.31319638583,-0.348502445,0.402455798728613,0.435453645396,-0.956047146,0.3676303485,1.35210735160154,2.46074735990365,24.3582350718817
"mu[10]",0.0754275685339999,-0.0378793995,0.986902498277595,1.06514550408,-1.52584387,1.655343395,1.04672603416603,12.5647140679722,31.7007288654678
"mu[11]",-1.14717202237,-1.2281319,0.573314930844681,0.54574965606,-1.9902571,-0.0921004789500001,1.40457191299474,2.35664682892858,31.0890033753775
"mu_t[1,1]",-1.389422743,-1.3997282,0.162847141443736,0.16675639869,-1.617970075,-1.057663545,1.39125008690853,2.40503837748083,24.3582350718816
"mu_t[2,1]",3.88428797,3.97075445,0.898594983958755,1.20081519075,2.511202995,5.20142241,1.89855850006087,1.51018302700027,13.0721046622061
"mu_t[3,1]",-0.0526057574202,-0.056266227,0.147140560287208,0.1689216789099,-0.2737647495,0.1863408075,1.71125335763264,1.74306995368201,29.9635545336693
"mu_t[4,1]",0.322996073767,0.32723519,0.217166455514265,0.279536008983,0.012518718385,0.6729128425,2.03034576785341,1.45643382310411,21.0412408320308
"mu_t[5,1]",-0.6886954837,-0.754345045,0.207904936226786,0.131981052,-0.9338639945,-0.267084251,1.30955365419401,2.71167422460415,16.4026619177055
"mu_t[6,1]",0.5233423299,0.50833418,0.20537662052653,0.239962042068,0.20589156,0.854995209,1.6678677497561,1.71030166631513,14.4246620507748
"mu_t[7,1]",0.021524535066,0.0236284365,0.148073980838996,0.1539080566212,-0.253914883,0.2444157025,1.08239712479565,9.59013908420141,31.6824001034527
"mu_t[8,1]",-2.355596392,-2.3714393,0.331826845311594,0.35225797635,-2.8719042,-1.78303743,1.24101041356833,3.1839417401465,13.7958218368152
"mu_t[9,1]",-0.34142612547,-0.39134957,0.191868721880649,0.181533243087,-0.578116745,-0.0119150728,1.44973876719565,3.52517518827621,22.7036844836535
"mu_t[10,1]",0.23812212184,0.22825853,0.101835584795194,0.106587353481,0.0773255274,0.41174976,1.04551985945202,47.810172064376,78.3393298097876
"mu_t[11,1]",0.8166984133,0.83145954,0.195383345886295,0.242760427329,0.4896942995,1.092601,1.09604402749134,8.30099243676861,50.7015438102727
